N,k,Global_Accuracy,Metric,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
2500,10,0.8464666666666667,L1,0.8815555555555555,0.9582222222222222,0.794,0.8657777777777778,0.7422222222222222,0.868,0.5128888888888888,0.9506666666666667,0.9355555555555556,0.9557777777777777
2500,15,0.842,L1,0.8755555555555555,0.9528888888888889,0.7873333333333333,0.8653333333333333,0.7393333333333333,0.8524444444444444,0.5128888888888888,0.9411111111111111,0.93,0.9631111111111111
2500,20,0.8397555555555556,L1,0.8762222222222222,0.9508888888888889,0.7775555555555556,0.8673333333333333,0.7426666666666667,0.8484444444444444,0.5106666666666667,0.9382222222222222,0.9264444444444444,0.9591111111111111
3000,1,0.845925,L1,0.82275,0.9695,0.753,0.852,0.71425,0.89475,0.59525,0.9435,0.95425,0.96
3000,2,0.8408,L1,0.9145,0.97075,0.8495,0.8495,0.6405,0.92625,0.4285,0.9605,0.9325,0.9355
3000,5,0.851075,L1,0.871,0.96225,0.7975,0.86825,0.74725,0.86825,0.53875,0.94825,0.94675,0.9625
3000,10,0.849675,L1,0.889,0.9595,0.7975,0.87075,0.7515,0.862,0.517,0.94775,0.94325,0.9585
3000,15,0.844925,L1,0.88725,0.954,0.7775,0.87125,0.74675,0.8445,0.52525,0.938,0.9395,0.96525
3000,20,0.84175,L1,0.889,0.953,0.76975,0.8705,0.74125,0.839,0.515,0.9395,0.93625,0.96425
3500,1,0.8479714285714286,L1,0.8177142857142857,0.9725714285714285,0.766,0.8534285714285714,0.7148571428571429,0.902,0.586,0.9471428571428572,0.9611428571428572,0.9588571428571429
3500,2,0.8423428571428572,L1,0.9108571428571428,0.9748571428571429,0.8502857142857143,0.8511428571428571,0.6642857142857143,0.932,0.40885714285714286,0.9651428571428572,0.9368571428571428,0.9291428571428572
3500,5,0.8550285714285715,L1,0.8771428571428571,0.9642857142857143,0.8031428571428572,0.8748571428571429,0.7537142857142857,0.8771428571428571,0.5322857142857143,0.9534285714285714,0.9494285714285714,0.9648571428571429
3500,10,0.8510857142857143,L1,0.886,0.9594285714285714,0.8028571428571428,0.8811428571428571,0.7491428571428571,0.8688571428571429,0.5082857142857143,0.9554285714285714,0.9431428571428572,0.9565714285714285
3500,15,0.8473428571428572,L1,0.8814285714285715,0.9534285714285714,0.7888571428571428,0.8751428571428571,0.758,0.8531428571428571,0.5197142857142857,0.9448571428571428,0.9385714285714286,0.9602857142857143
3500,20,0.8444285714285714,L1,0.8788571428571429,0.9511428571428572,0.7785714285714286,0.8725714285714286,0.7591428571428571,0.8531428571428571,0.5108571428571429,0.9454285714285714,0.9365714285714286,0.958
4000,1,0.8504,L1,0.8303333333333334,0.973,0.7666666666666667,0.8473333333333334,0.7176666666666667,0.906,0.6086666666666667,0.9433333333333334,0.9566666666666667,0.9543333333333334
4000,2,0.8464333333333334,L1,0.9173333333333333,0.9776666666666667,0.8523333333333334,0.854,0.657,0.9366666666666666,0.44766666666666666,0.9626666666666667,0.9313333333333333,0.9276666666666666
4000,5,0.8570333333333333,L1,0.8766666666666667,0.9673333333333334,0.8106666666666666,0.8716666666666667,0.7626666666666667,0.883,0.5446666666666666,0.9503333333333334,0.9463333333333334,0.957
4000,10,0.8543,L1,0.8876666666666667,0.9623333333333334,0.8023333333333333,0.8756666666666667,0.764,0.8746666666666667,0.5323333333333333,0.9546666666666667,0.9376666666666666,0.9516666666666667
4000,15,0.8501,L1,0.8816666666666667,0.958,0.787,0.874,0.7656666666666667,0.861,0.5393333333333333,0.942,0.9373333333333334,0.955
