N,k,Global_Accuracy,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
3500,1,0.8416285714285714,0.8017142857142857,0.9711428571428572,0.7734285714285715,0.8377142857142857,0.7222857142857143,0.8442857142857143,0.6085714285714285,0.9471428571428572,0.9477142857142857,0.9622857142857143
3500,2,0.8401142857142857,0.8954285714285715,0.9722857142857143,0.8545714285714285,0.8351428571428572,0.6728571428571428,0.8934285714285715,0.4582857142857143,0.9588571428571429,0.9254285714285714,0.9348571428571428
3500,5,0.8480285714285715,0.8514285714285714,0.9628571428571429,0.814,0.854,0.7517142857142857,0.8148571428571428,0.5788571428571428,0.95,0.9382857142857143,0.9642857142857143
3500,10,0.8439428571428571,0.8631428571428571,0.958,0.81,0.8565714285714285,0.7431428571428571,0.8071428571428572,0.5574285714285714,0.9505714285714286,0.934,0.9594285714285714
3500,15,0.8394571428571429,0.854,0.954,0.7902857142857143,0.8534285714285714,0.7525714285714286,0.7862857142857143,0.5697142857142857,0.9405714285714286,0.9302857142857143,0.9634285714285714
3500,20,0.8366285714285714,0.8557142857142858,0.9525714285714286,0.7822857142857143,0.8531428571428571,0.7494285714285714,0.7811428571428571,0.5634285714285714,0.942,0.9251428571428572,0.9614285714285714
4000,1,0.8447666666666667,0.8063333333333333,0.9723333333333334,0.7713333333333333,0.838,0.7336666666666667,0.8516666666666667,0.6156666666666667,0.942,0.9503333333333334,0.9663333333333334
4000,2,0.8441333333333333,0.8983333333333333,0.9743333333333334,0.848,0.841,0.683,0.8973333333333333,0.4706666666666667,0.9573333333333334,0.931,0.9403333333333334
4000,5,0.8512,0.8613333333333333,0.9636666666666667,0.809,0.8566666666666667,0.7643333333333333,0.8223333333333334,0.5813333333333334,0.945,0.9433333333333334,0.965
4000,10,0.8477333333333333,0.874,0.9596666666666667,0.808,0.8563333333333333,0.7536666666666667,0.815,0.5623333333333334,0.948,0.9383333333333334,0.962
4000,15,0.8432333333333333,0.8666666666666667,0.9543333333333334,0.7863333333333333,0.854,0.7573333333333333,0.794,0.579,0.9413333333333334,0.9353333333333333,0.964
4000,20,0.8391,0.8646666666666667,0.9523333333333334,0.7803333333333333,0.8496666666666667,0.7583333333333333,0.7886666666666666,0.5646666666666667,0.939,0.932,0.9613333333333334
4500,1,0.84752,0.8132,0.9748,0.776,0.8452,0.7348,0.8556,0.6072,0.948,0.956,0.9644
4500,2,0.84432,0.9008,0.9772,0.852,0.8408,0.6824,0.8996,0.4604,0.96,0.9304,0.9396
4500,5,0.85212,0.8684,0.9656,0.8068,0.8592,0.76,0.8296,0.5756,0.9456,0.9452,0.9652
4500,10,0.84976,0.8812,0.9608,0.8012,0.8608,0.7608,0.8156,0.5608,0.9536,0.9408,0.962
4500,15,0.84612,0.8708,0.9576,0.792,0.8552,0.7628,0.7972,0.576,0.9464,0.9368,0.9664
4500,20,0.84252,0.8712,0.9548,0.7788,0.8584,0.7624,0.7912,0.5644,0.9464,0.934,0.9636
5000,1,0.8504,0.8225,0.9765,0.7665,0.853,0.7475,0.861,0.6075,0.9475,0.9555,0.9665
5000,2,0.8465,0.9095,0.9795,0.8415,0.8495,0.695,0.901,0.457,0.9585,0.931,0.9425
5000,5,0.85415,0.872,0.9675,0.799,0.8695,0.7755,0.83,0.578,0.939,0.945,0.966
5000,10,0.8524,0.8825,0.9645,0.798,0.87,0.7755,0.815,0.5635,0.949,0.9415,0.9645
5000,15,0.84665,0.875,0.96,0.784,0.86,0.7755,0.792,0.575,0.942,0.9365,0.9665
